RollLongRight,RollLongTrd,RollShortRight,RollShortTrd,rollret,theRet,ticker
0,0,2,5,0.00117626,0.00117626,AA
4,7,4,8,0.08234108,0.08116482,AAL
6,11,5,9,0.35550131,0.27316023,AAOI
10,19,8,20,0.35476071,-0.0007406,AAU
11,21,12,25,0.45401038,0.09924967,AAV
13,24,14,28,0.50185595,0.04784557,AAXJ
14,27,16,32,0.46282869,-0.03902726,ABB
17,31,16,32,0.51921682,0.05638813,ABBV
22,42,17,35,0.54172991,0.02251309,ABE
25,47,19,41,0.54588358,0.00415367,ABEV
30,52,19,41,0.54588358,0.0,ABR
30,53,19,42,0.54588358,0.0,ABTX
30,55,21,44,0.50606326,-0.03982032,ABUS
33,61,25,52,0.471164,-0.03489926,ABX
36,67,28,58,0.41672946,-0.05443454,ACAS
36,67,28,58,0.41672946,0.0,ACBI
38,70,31,62,0.43629173,0.01956227,ACC
38,71,32,65,0.41248743,-0.0238043,ACFC
43,78,38,80,0.37307427,-0.03941316,ACRE
45,81,44,91,0.40713017,0.0340559,ACTG
50,86,44,93,0.38699996,-0.02013021,ACWI
50,90,46,96,0.3828974,-0.00410256,ACWX
55,102,47,100,0.43701763,0.05412023,ADC
55,110,49,107,0.45553787,0.01852024,ADRA
57,116,50,109,0.45783153,0.00229366,ADRD
59,121,53,116,0.46533235,0.00750082,ADRE
59,121,53,117,0.44619301,-0.01913934,ADRO
63,130,53,119,0.49595382,0.04976081,ADRU
65,134,54,121,0.47126555,-0.02468827,ADXS
70,139,54,123,0.48404864,0.01278309,AED
70,141,56,126,0.46177715,-0.02227149,AEE
72,144,59,129,0.46256086,0.00078371,AEH
77,151,62,135,0.50529979,0.04273893,AEM
80,160,63,137,0.53840308,0.03310329,AEP
80,161,66,143,0.52447687,-0.01392621,AES
84,170,67,144,0.53994018,0.01546331,AFB
84,170,67,144,0.53994018,0.0,AFCO
84,170,67,147,0.51562287,-0.02431731,AFMD
84,171,68,149,0.51368527,-0.0019376,AFSD
84,171,68,149,0.51368527,0.0,AFSS
86,173,68,149,0.4780364,-0.03564887,AFST
89,179,69,157,0.634703,0.1566666,AG
90,180,71,162,0.67447785,0.03977485,AGCO
91,181,76,176,0.90587751,0.23139966,AGI
93,184,78,179,0.80705067,-0.09882684,AGIO
96,190,80,182,0.85397465,0.04692398,AGN
96,190,82,185,0.85081075,-0.0031639,AGN-PA
100,197,82,185,0.85018266,-0.00062809,AGNC
102,199,83,187,0.83510573,-0.01507693,AGND
105,203,85,189,0.82895239,-0.00615334,AGRO
105,205,89,197,0.81344118,-0.01551121,AGU
108,211,90,201,0.75520756,-0.05823362,AHGP
112,216,92,203,0.74844298,-0.00676458,AIA
112,216,92,203,0.74844298,0.0,AIMT
114,222,93,206,0.70851033,-0.03993265,AIN
114,223,94,207,0.724898,0.01638767,AIRR
122,237,96,216,0.66132409,-0.06357391,AJG
122,238,98,219,0.66119704,-0.00012705,AKG
124,244,101,225,0.59240382,-0.06879322,AKR
127,247,105,235,0.74455877,0.15215495,AKS
128,250,106,242,0.79392472,0.04936595,ALDR
129,252,107,245,0.76783077,-0.02609395,ALE
131,256,109,247,0.71493502,-0.05289575,ALGT
134,262,111,252,0.79947717,0.08454215,ALJ
136,270,113,254,0.76212712,-0.03735005,ALK
137,271,115,258,0.76505103,0.00292391,ALLE
139,275,118,263,0.86470402,0.09965299,ALX
142,285,119,264,0.97229552,0.1075915,AMCX
144,289,120,267,0.98617358,0.01387806,AMNB
144,290,124,273,0.95190336,-0.03427022,AMOV
145,291,126,277,1.0431908,0.09128744,AMPH
145,300,127,278,1.0560075,0.0128167,AMSGP
151,310,130,281,1.1126156,0.0566081,AMTD
153,313,131,282,1.03183952,-0.08077608,AMTG
155,318,133,286,0.97617585,-0.05566367,AMX
159,325,134,287,0.91235028,-0.06382557,ANCX
162,332,136,292,0.98214957,0.06979929,ANDE
162,333,136,296,1.00202427,0.0198747,ANET
166,339,138,299,1.0149627,0.01293843,ANH
166,339,139,303,1.01345133,-0.00151137,ANTX
168,343,141,307,1.01034223,-0.0031091,AOI
168,343,144,313,0.97015654,-0.04018569,AP
170,346,145,314,1.00196514,0.0318086,APA
172,353,149,321,1.01574145,0.01377631,APAM
173,354,153,328,1.00486587,-0.01087558,APB
176,362,154,340,1.02463454,0.01976867,APD
181,368,156,347,1.02380475,-0.00082979,APF
181,370,156,352,0.97471514,-0.04908961,APPF
185,376,157,359,0.96469849,-0.01001665,ARE
187,378,169,382,0.55279539,-0.4119031,AREX
189,382,170,384,0.54143398,-0.01136141,ARI
189,385,171,387,0.53930414,-0.00212984,ARII
193,390,171,390,0.46971091,-0.06959323,ARLP
195,393,171,390,0.46760399,-0.00210692,ARMK
197,396,175,400,0.4031985,-0.06440549,AROC
198,399,175,400,0.38897549,-0.01422301,ARR
202,404,178,405,0.42438817,0.03541268,ARTNA
205,410,182,416,0.62839494,0.20400677,ASA
205,411,185,421,0.61252089,-0.01587405,ASB
206,414,185,424,0.61252089,0.0,ASM
210,419,190,433,0.46110573,-0.15141516,ASTE
211,421,191,436,0.52902787,0.06792214,AT
211,422,193,441,0.54652095,0.01749308,ATI
212,424,193,442,0.53351327,-0.01300768,ATNI
216,430,194,443,0.5320526,-0.00146067,ATO
220,434,195,449,0.5266299,-0.0054227,ATR
223,442,196,453,0.67212956,0.14549966,ATW
225,446,198,462,0.71864958,0.04652002,AUMN
227,448,200,467,0.7411641,0.02251452,AUO
231,453,202,473,0.92773664,0.18657254,AUY
232,455,202,476,0.94474864,0.017012,AVA
235,460,203,478,0.91767915,-0.02706949,AVB
236,461,205,481,0.94300615,0.025327,AVNU
238,466,207,484,0.92857135,-0.0144348,AWF
241,474,207,487,0.92499698,-0.00357437,AWK
242,477,207,490,0.90295282,-0.02204416,AWP
250,488,208,491,0.89888787,-0.00406495,AWR
250,490,209,492,0.9877914,0.08890353,AXAS
251,493,211,496,1.00434522,0.01655382,AXLL
256,499,211,496,1.00478511,0.00043989,AXS-PD
257,501,211,496,1.02733094,0.02254583,AXTA
257,501,215,503,0.97057444,-0.0567565,AXTI
257,501,216,508,0.9713911,0.00081666,AXU
257,501,218,511,0.9713911,0.0,BAA
259,505,221,514,0.98058312,0.00919202,BABA
264,517,221,525,0.97429991,-0.00628321,BAF
267,521,222,527,0.93233903,-0.04196088,BAK
270,524,227,534,1.00145567,0.06911664,BANF
273,528,229,537,0.98367059,-0.01778508,BANR
276,533,232,544,0.88119218,-0.10247841,BAP
278,539,235,550,0.73712934,-0.14406284,BAS
279,540,236,554,0.76288689,0.02575755,BBC
282,544,239,558,0.70581723,-0.05706966,BBD
282,544,241,560,0.73136606,0.02554883,BBDO
286,549,242,562,0.72412296,-0.0072431,BBF
289,558,242,562,0.58243566,-0.1416873,BBG
294,571,243,564,0.56417209,-0.01826357,BBK
294,574,250,577,0.6238989,0.05972681,BBL
297,580,251,579,0.62293937,-0.00095953,BBN
297,580,251,579,0.62293937,0.0,BBP
306,597,252,586,0.65698571,0.03404634,BCE
308,601,253,592,0.51184512,-0.14514059,BCEI
314,610,257,598,0.58517487,0.07332975,BCH
315,615,257,606,0.56202494,-0.02314993,BCX
318,620,261,613,0.49457528,-0.06744966,BDN
320,628,263,616,0.43865434,-0.05592094,BEP
326,634,265,619,0.44165096,0.00299662,BFAM
331,646,265,619,0.43415424,-0.00749672,BFK
332,648,269,626,0.43424841,9.417e-05,BGR
332,649,273,632,0.43662415,0.00237574,BGT
333,650,273,632,0.42701527,-0.00960888,BHBK
334,653,275,639,0.40178373,-0.02523154,BHE
335,657,276,641,0.38607648,-0.01570725,BHI
336,662,276,641,0.37823584,-0.00784064,BHK
340,673,278,644,0.35266065,-0.02557519,BHLB
340,674,281,650,0.35863506,0.00597441,BHP
341,676,282,652,0.39683547,0.03820041,BICK
347,691,284,655,0.43923566,0.04240019,BIP
349,693,284,655,0.44307199,0.00383633,BIT
349,693,284,655,0.44307199,0.0,BITE
351,700,286,667,0.4804932,0.03742121,BKCC
358,708,287,669,0.47065939,-0.00983381,BKH
360,715,288,671,0.47890119,0.0082418,BKK
364,720,288,672,0.4668913,-0.01200989,BKN
364,720,289,674,0.46532037,-0.00157093,BKT
366,728,289,676,0.48113522,0.01581485,BKU
367,729,290,681,0.62814301,0.14700779,BLCM
374,740,291,683,0.64290736,0.01476435,BLE
375,744,292,684,0.65709799,0.01419063,BLJ
380,754,297,690,0.67150806,0.01441007,BMI
382,757,298,693,0.70317834,0.03167028,BMO
386,763,300,696,0.70178383,-0.00139451,BMRC
390,770,301,698,0.69510553,-0.0066783,BNCN
390,771,303,700,0.69327134,-0.00183419,BNDX
392,773,303,704,0.7989118,0.10564046,BNFT
393,777,303,704,0.7995645,0.0006527,BNJ
393,778,304,706,0.81513772,0.01557322,BNK
395,781,307,710,0.82952323,0.01438551,BNS
400,789,307,713,0.74893741,-0.08058582,BOFI
402,796,309,716,0.70237922,-0.04655819,BOH
402,796,310,719,0.69558016,-0.00679906,BOJA
406,803,310,720,0.73647949,0.04089933,BOKF
407,807,312,723,0.70985037,-0.02662912,BOLT
408,810,315,729,0.70042858,-0.00942179,BOOM
409,811,316,731,0.65818308,-0.0422455,BOXC
411,817,316,732,0.65301476,-0.00516832,BP
412,823,317,734,0.64720677,-0.00580799,BPK
413,824,317,736,0.64235324,-0.00485353,BPMC
418,834,317,738,0.69322415,0.05087091,BPT
422,838,321,747,0.63684449,-0.05637966,BRC
424,841,324,751,0.59017706,-0.04666743,BRFS
432,851,325,752,0.58049278,-0.00968428,BRKL
436,857,325,755,0.59087789,0.01038511,BRO
438,863,327,761,0.53152273,-0.05935516,BRS
441,868,329,766,0.50847056,-0.02305217,BSAC
446,873,329,770,0.5265903,0.01811974,BSBR
449,879,329,772,0.5462828,0.0196925,BSD
455,889,331,774,0.53478442,-0.01149838,BSE
455,890,331,777,0.55946178,0.02467736,BST
460,902,332,778,0.56369206,0.00423028,BTA
460,902,334,783,0.45468832,-0.10900374,BTE
464,908,336,793,0.44274814,-0.01194018,BTI
465,911,340,797,0.44009085,-0.00265729,BTO
469,919,340,798,0.43558351,-0.00450734,BTT
476,931,341,802,0.38511658,-0.05046693,BTZ
477,933,344,807,0.35259555,-0.03252103,BURL
480,938,352,820,0.41444506,0.06184951,BVN
480,939,352,821,0.41444506,0.0,BWG
486,947,353,823,0.42527271,0.01082765,BWINB
488,952,355,826,0.26837568,-0.15689703,BXE
491,956,360,835,0.30396815,0.03559247,BXP
493,960,363,839,0.30099206,-0.00297609,BXS
494,962,367,846,0.33874118,0.03774912,BZH
494,962,369,849,0.19586217,-0.14287901,BZUN
495,965,369,849,0.1976915,0.00182933,C-PK
500,973,370,855,0.185539,-0.0121525,CABO
500,973,370,857,0.185539,0.0,CADC
501,985,370,870,0.21601863,0.03047963,CARB
504,989,371,873,0.19471664,-0.02130199,CAS
509,999,372,879,0.15702343,-0.03769321,CAT
511,1003,377,886,0.25364113,0.0966177,CBD
513,1006,379,889,0.25364113,0.0,CBF
520,1018,382,894,0.23353976,-0.02010137,CBI
522,1022,384,900,0.20647914,-0.02706062,CBSH
525,1026,389,907,0.2014646,-0.00501454,CBT
529,1034,392,912,0.21311299,0.01164839,CBU
533,1040,394,916,0.26752247,0.05440948,CCC
540,1054,395,920,0.28871571,0.02119324,CCE
543,1057,399,924,0.30546842,0.01675271,CCI
544,1059,404,929,0.32872102,0.0232526,CCJ
544,1059,406,931,0.34234212,0.0136211,CCS
545,1063,408,937,0.22826211,-0.11408001,CCU
546,1065,408,937,0.22332053,-0.00494158,CCV
547,1066,408,938,0.21055447,-0.01276606,CDC
552,1072,411,946,0.20661826,-0.00393621,CDE
553,1073,411,946,0.20840645,0.00178819,CDL
558,1081,411,947,0.22937853,0.02097208,CDR
560,1083,411,947,0.23902651,0.00964798,CDW
560,1086,411,948,0.28448893,0.04546242,CDXC
564,1091,413,952,0.23733007,-0.04715886,CE
567,1095,415,955,0.22191835,-0.01541172,CEE
569,1099,416,959,0.25962591,0.03770756,CEF
569,1101,422,967,0.69178772,0.43216181,CENX
570,1105,427,973,0.57755866,-0.11422906,CEO
574,1115,428,976,0.48052444,-0.09703422,CF
574,1115,428,976,0.48052444,0.0,CFA
581,1125,430,978,0.47316625,-0.00735819,CFC-PB
582,1127,431,982,0.52565925,0.052493,CFD
584,1131,433,985,0.51019854,-0.01546071,CFFN
589,1138,435,988,0.53522348,0.02502494,CFG
589,1138,435,988,0.53522348,0.0,CFGE
593,1143,436,991,0.53749707,0.00227359,CFNB
595,1145,437,993,0.53586715,-0.00162992,CFO
601,1154,441,1001,0.51005177,-0.02581538,CFR
602,1157,446,1008,0.45306077,-0.056991,CGG
607,1162,447,1011,0.41701577,-0.036045,CH
608,1163,449,1017,0.40192057,-0.0150952,CHGG
608,1165,453,1026,0.25452187,-0.1473987,CHK
608,1167,453,1028,0.25452187,0.0,CHKR
611,1173,455,1031,0.25446343,-5.844e-05,CHN
615,1182,460,1042,0.2427583,-0.01170513,CHSCP
615,1183,463,1045,0.26276396,0.02000566,CHU
617,1187,466,1049,0.11903934,-0.14372462,CIA
619,1193,470,1054,0.19163622,0.07259688,CIB
619,1193,470,1055,0.19123308,-0.00040314,CIBR
619,1193,470,1055,0.19123308,0.0,CID
620,1198,470,1058,0.18986628,-0.0013668,CIE
620,1199,470,1063,0.09401829,-0.09584799,CIG
621,1203,470,1064,0.10622743,0.01220914,CIM
621,1203,471,1065,0.0888609,-0.01736653,CINR
621,1203,472,1066,0.09657008,0.00770918,CIZ
622,1204,474,1069,-0.08181548,-0.17838556,CJJD
623,1211,476,1078,-0.0424211,0.03939438,CLB
624,1212,477,1081,0.0787677,0.1211888,CLCT
625,1215,481,1089,0.0311798,-0.0475879,CLD
628,1218,487,1103,0.36299093,0.33181113,CLF
630,1222,492,1109,0.28733737,-0.07565356,CLH
632,1226,493,1111,0.30642577,0.0190884,CLI
633,1235,498,1124,0.51577184,0.20934607,CLNE
635,1240,500,1127,0.48020175,-0.03557009,CLR
642,1248,502,1137,0.48303911,0.00283736,CM
646,1254,508,1145,0.55108805,0.06804894,CMA
648,1256,514,1153,0.51942296,-0.03166509,CMC
649,1260,517,1157,0.51651805,-0.00290491,CMCO
651,1264,520,1161,0.51845796,0.00193991,CMCT
655,1270,523,1167,0.62435671,0.10589875,CMI
658,1275,524,1169,0.63703888,0.01268217,CMO
662,1279,527,1181,0.65485933,0.01782045,CMPR
663,1281,527,1183,0.64631119,-0.00854814,CMS
664,1282,529,1185,0.64409136,-0.00221983,CMU
666,1284,530,1188,0.64409136,0.0,CNFR
673,1293,532,1193,0.63576573,-0.00832563,CNP
675,1297,537,1199,0.7648048,0.12903907,CNQ
678,1300,542,1210,0.8659744,0.1011696,CNX
683,1309,544,1221,0.87038201,0.00440761,COHR
687,1314,545,1232,0.86689416,-0.00348785,COMT
688,1319,546,1234,0.9410721,0.07417794,CONN
690,1325,549,1238,0.94395622,0.00288412,COP
693,1329,554,1243,0.97678022,0.032824,COT
696,1335,556,1246,1.06360193,0.08682171,CPE
698,1338,557,1247,1.04978481,-0.01381712,CPF
699,1342,559,1249,1.09947325,0.04968844,CPG
700,1344,562,1253,1.14026262,0.04078937,CPIX
704,1350,564,1259,1.10779826,-0.03246436,CPK
705,1353,567,1265,1.06136023,-0.04643803,CPL
709,1363,567,1269,1.16878593,0.1074257,CPLP
711,1374,571,1273,1.19217003,0.0233841,CR
712,1376,572,1276,1.17033357,-0.02183646,CRESY
714,1379,573,1280,1.01152001,-0.15881356,CRK
716,1381,578,1287,1.07191284,0.06039283,CRR
718,1387,578,1290,1.16182513,0.08991229,CRS
719,1391,579,1294,1.27155071,0.10972558,CRT
723,1397,581,1298,1.30653205,0.03498134,CRY
723,1399,583,1302,1.29146341,-0.01506864,CRZO
723,1400,583,1302,1.29455985,0.00309644,CSB
726,1404,584,1303,1.30439881,0.00983896,CSF
729,1411,587,1308,1.34090769,0.03650888,CSI
730,1413,588,1310,1.34090769,0.0,CST
734,1420,591,1314,1.26276956,-0.07813813,CSV
740,1431,594,1322,1.27100199,0.00823243,CTLT
741,1433,597,1327,1.21245262,-0.05854937,CTO
742,1435,597,1327,1.18095889,-0.03149373,CTSO
742,1436,598,1329,1.18095889,0.0,CTT
743,1439,600,1334,1.20157698,0.02061809,CTWS
743,1439,601,1335,1.20643064,0.00485366,CTZ
745,1444,601,1338,1.18890742,-0.01752322,CUBE
749,1452,601,1340,1.13080301,-0.05810441,CUZ
754,1460,603,1343,1.07000013,-0.06080288,CVBF
756,1464,606,1351,1.00624648,-0.06375365,CVE
758,1468,609,1361,0.96052304,-0.04572344,CVI
763,1474,610,1363,0.94273546,-0.01778758,CVX
766,1478,614,1368,0.94259247,-0.00014299,CWEI
766,1478,614,1368,0.94259247,0.0,CWST
766,1481,614,1370,0.93993289,-0.00265958,CWT
766,1483,614,1373,0.92239531,-0.01753758,CX
767,1486,615,1376,0.91830994,-0.00408537,CXE
770,1491,615,1378,0.88825755,-0.03005239,CXO
771,1494,617,1382,0.86815809,-0.02009946,CYD
775,1501,619,1385,0.88954192,0.02138383,CYS
778,1507,622,1390,0.83998624,-0.04955568,CZZ
780,1512,623,1395,0.86600463,0.02601839,DAL
782,1516,624,1399,0.87329725,0.00729262,DAR
782,1516,625,1400,0.87351524,0.00021799,DATA
783,1517,625,1400,0.86927624,-0.004239,DAX
783,1517,626,1402,0.88009958,0.01082334,DBVT
783,1518,627,1404,0.88788191,0.00778233,DCA
784,1520,629,1409,0.92679471,0.0389128,DCIX
789,1527,634,1415,0.95013717,0.02334246,DCM
793,1532,634,1416,1.10164592,0.15150875,DCTH
796,1535,636,1418,1.10061195,-0.00103397,DCUB
796,1535,636,1418,1.10061195,0.0,DDBI
799,1540,640,1425,1.13103593,0.03042398,DDC
803,1546,641,1427,1.20169796,0.07066203,DDR
818,1568,644,1441,1.18156125,-0.02013671,DEG
820,1570,648,1450,1.1920596,0.01049835,DEL
827,1578,648,1453,1.20527075,0.01321115,DFT
833,1590,650,1458,1.38103744,0.17576669,DGLD
835,1592,651,1459,1.45112261,0.07008517,DGLY
840,1598,652,1462,1.49619516,0.04507255,DGRS
842,1603,652,1462,1.5022897,0.00609454,DGRW
842,1604,652,1464,1.50718302,0.00489332,DIAX
844,1610,653,1465,1.58423523,0.07705221,DISH
846,1613,656,1469,1.5633617,-0.02087353,DLBS
848,1616,658,1473,1.66382705,0.10046535,DLNG
855,1629,659,1478,1.61147113,-0.05235592,DLR
860,1638,660,1489,1.62514499,0.01367386,DMB
864,1645,660,1491,1.61359193,-0.01155306,DMF
866,1648,662,1497,1.53895592,-0.07463601,DMLP
872,1656,662,1499,1.52633353,-0.01262239,DMO
873,1657,662,1499,1.62069629,0.09436276,DMTX
873,1657,663,1501,1.5947208,-0.02597549,DNN
874,1658,668,1510,1.46010222,-0.13461858,DNR
876,1663,670,1512,1.45277458,-0.00732764,DO
879,1667,672,1515,1.42967682,-0.02309776,DOV
883,1673,674,1520,1.40822976,-0.02144706,DOW
892,1684,674,1524,1.39023326,-0.0179965,DOX
893,1685,675,1528,1.20836724,-0.18186602,DRD
900,1697,676,1532,1.1628292,-0.04553804,DRE
904,1705,679,1537,1.22257855,0.05974935,DRH
904,1706,681,1543,1.1792721,-0.04330645,DRQ
906,1709,683,1546,1.1792721,0.0,DRYS
907,1711,685,1550,1.18051894,0.00124684,DSL
910,1719,692,1558,1.57983277,0.39931383,DSLV
913,1723,692,1560,1.5735378,-0.00629497,DSM
914,1726,692,1562,1.53422638,-0.03931142,DSS
915,1729,693,1563,1.54129335,0.00706697,DSWL
916,1731,701,1573,1.6309269,0.08963355,DSX
922,1742,702,1574,1.56335556,-0.06757134,DTE
927,1748,702,1574,1.5647051,0.00134954,DTF
931,1753,702,1574,1.56704604,0.00234094,DTQ
931,1753,702,1574,1.56704604,0.0,DTUS
934,1761,702,1578,1.65991805,0.09287201,DTYS
937,1764,704,1581,1.65602318,-0.00389487,DTZ
940,1770,704,1583,1.67090905,0.01488587,DUK
941,1773,704,1583,1.67323478,0.00232573,DUKH
943,1778,704,1583,1.53745127,-0.13578351,DVN
945,1781,706,1588,1.6328279,0.09537663,DWSN
945,1781,706,1588,1.6328279,0.0,DWTR
946,1783,706,1590,1.63428455,0.00145665,DX
946,1785,706,1590,1.63022931,-0.00405524,DXGE
949,1790,708,1594,1.61910779,-0.01112152,DXJS
950,1792,710,1596,1.62143063,0.00232284,DXKW
