RollLongRight,RollLongTrd,RollShortRight,RollShortTrd,rollret,theRet,ticker
0,4,0,0,0.02025209,0.02025209,AAL
0,4,0,0,0.02025209,0.0,AAMC
0,4,0,0,0.02025209,0.0,AAOI
0,4,0,0,0.02025209,0.0,AAP
0,7,0,0,0.02025209,0.0,AAU
0,7,0,0,0.02025209,0.0,AAXJ
0,7,0,0,0.02025209,0.0,AB
0,7,0,0,0.02025209,0.0,ABAX
0,7,0,0,0.02025209,0.0,ABB
0,7,0,2,0.04434583,0.02409374,ABBV
0,7,0,2,0.04434583,0.0,ABC
0,7,0,3,0.04537662,0.00103079,ABCB
0,7,0,3,0.04537662,0.0,ABCD
0,7,0,3,0.04537662,0.0,ABE
0,7,0,3,0.04537662,0.0,ABM
0,7,0,3,0.04537662,0.0,ABMD
0,7,0,3,0.04537662,0.0,ABT
0,7,0,3,0.04537662,0.0,ABTL
0,7,0,3,0.04537662,0.0,ABTX
0,7,0,3,0.04537662,0.0,ABX
0,7,0,3,0.04537662,0.0,ACAD
0,8,0,3,0.04852029,0.00314367,ACAS
0,8,0,3,0.04852029,0.0,ACBI
0,8,0,3,0.04852029,0.0,ACGL
0,8,0,3,0.04852029,0.0,ACH
2,10,0,3,0.07298057,0.02446028,ACHC
2,10,0,3,0.07298057,0.0,ACHN
2,10,0,3,0.07298057,0.0,ACIW
2,11,0,3,0.09195268,0.01897211,ACLS
3,12,0,3,0.10476102,0.01280834,ACM
5,14,0,3,0.10121805,-0.00354297,ACN
5,14,0,3,0.10121805,0.0,ACNB
5,14,0,3,0.10121805,0.0,ACOR
5,14,0,3,0.10121805,0.0,ACP
5,14,0,4,0.10121805,0.0,ACTA
5,14,0,4,0.10121805,0.0,ACV
5,14,0,4,0.10121805,0.0,ACWI
5,14,0,4,0.10121805,0.0,ACWX
5,15,0,4,0.09647899,-0.00473906,ADBE
5,15,0,4,0.09647899,0.0,ADI
5,15,0,4,0.09647899,0.0,ADM
5,15,0,5,0.10917757,0.01269858,ADMA
5,15,0,5,0.10917757,0.0,ADMS
5,15,0,6,0.11035574,0.00117817,ADP
5,15,0,9,0.11035574,0.0,ADRD
5,15,0,9,0.11035574,0.0,ADRE
5,15,0,10,0.14176328,0.03140754,ADRO
5,15,0,10,0.14176328,0.0,ADRU
5,15,0,10,0.14176328,0.0,ADSK
5,15,0,10,0.14176328,0.0,ADTN
5,15,0,10,0.14176328,0.0,ADUS
5,15,0,10,0.14176328,0.0,ADVM
5,15,0,10,0.14176328,0.0,ADX
5,15,0,10,0.14176328,0.0,ADXS
6,16,0,10,0.17314051,0.03137723,AE
6,16,0,10,0.17314051,0.0,AED
6,16,0,10,0.17314051,0.0,AEG
7,17,0,11,0.17429551,0.001155,AEH
7,17,0,11,0.17429551,0.0,AEIS
7,17,0,11,0.17429551,0.0,AEK
7,17,0,12,0.18165389,0.00735838,AEL
7,17,0,12,0.18165389,0.0,AEM
7,18,0,12,0.18165389,0.0,AERI
7,18,0,12,0.18165389,0.0,AET
8,19,0,12,0.19333407,0.01168018,AEUA
8,19,0,12,0.19333407,0.0,AF
8,19,0,12,0.19333407,0.0,AFC
8,19,0,12,0.19333407,0.0,AFCO
9,20,0,12,0.19444259,0.00110852,AFG
9,20,0,12,0.19444259,0.0,AFL
9,20,0,12,0.19444259,0.0,AFMD
9,20,0,12,0.19444259,0.0,AFSI
9,20,0,12,0.19444259,0.0,AFSS
9,20,0,12,0.19444259,0.0,AFST
9,20,0,12,0.19444259,0.0,AFT
10,21,0,12,0.19747749,0.0030349,AFW
10,21,0,12,0.19747749,0.0,AG
10,21,0,12,0.19747749,0.0,AGC
10,21,0,12,0.19747749,0.0,AGD
10,21,0,12,0.19747749,0.0,AGEN
10,21,0,12,0.19747749,0.0,AGI
10,21,1,14,0.20111532,0.00363783,AGII
10,21,1,14,0.20111532,0.0,AGIO
10,21,1,14,0.20111532,0.0,AGN
10,21,1,14,0.20111532,0.0,AGN-PA
10,21,1,14,0.20111532,0.0,AGO
10,22,1,14,0.23044831,0.02933299,AGRO
10,22,1,14,0.23044831,0.0,AGTC
10,22,1,15,0.24011957,0.00967126,AGYS
10,22,1,15,0.24011957,0.0,AHL
10,22,1,15,0.24011957,0.0,AHL-PB
10,22,1,15,0.24011957,0.0,AHL-PC
10,22,1,15,0.24011957,0.0,AHS
10,22,1,15,0.24011957,0.0,AIA
11,23,1,15,0.24050852,0.00038895,AIB
11,23,1,16,0.24050852,0.0,AIN
11,23,1,16,0.24050852,0.0,AIR
11,23,1,16,0.24050852,0.0,AIRR
11,24,1,16,0.24050852,0.0,AIY
11,25,1,16,0.24156178,0.00105326,AIZ
11,25,1,16,0.24156178,0.0,AJG
11,25,1,16,0.24156178,0.0,AJRD
11,25,1,16,0.24156178,0.0,AKAM
11,25,1,16,0.24156178,0.0,AKBA
11,25,1,16,0.24156178,0.0,AKG
11,25,1,16,0.24156178,0.0,AKR
11,25,1,16,0.24156178,0.0,AL
11,25,1,16,0.24156178,0.0,ALB
11,25,1,17,0.28677603,0.04521425,ALDR
11,25,1,17,0.28677603,0.0,ALDW
13,27,1,17,0.3000981,0.01332207,ALG
13,27,1,17,0.3000981,0.0,ALGN
13,27,1,17,0.3000981,0.0,ALK
13,27,1,18,0.30225997,0.00216187,ALL
13,27,1,18,0.30225997,0.0,ALLE
13,27,1,18,0.30225997,0.0,ALLY
13,27,1,18,0.30225997,0.0,ALNY
13,27,1,18,0.30225997,0.0,ALOG
13,27,1,18,0.30225997,0.0,ALQA
13,27,1,18,0.30225997,0.0,ALSN
13,27,1,18,0.30225997,0.0,ALV
13,27,1,18,0.30225997,0.0,ALXN
13,27,1,19,0.30225997,0.0,AMAT
13,27,1,19,0.30225997,0.0,AMBR
13,27,1,21,0.29830841,-0.00395156,AMCX
13,27,1,21,0.29830841,0.0,AMD
13,27,1,21,0.29830841,0.0,AME
13,27,1,21,0.29830841,0.0,AMED
13,27,1,21,0.29830841,0.0,AMFW
13,27,1,21,0.29830841,0.0,AMG
13,27,1,22,0.30978056,0.01147215,AMGN
14,28,1,22,0.30443772,-0.00534284,AMKR
14,28,1,22,0.30443772,0.0,AMOV
14,28,1,22,0.30443772,0.0,AMP
14,28,1,22,0.30443772,0.0,AMPH
14,31,1,24,0.30443772,0.0,AMRN
14,31,1,24,0.30443772,0.0,AMSF
14,31,1,24,0.30443772,0.0,AMSG
14,31,1,24,0.30443772,0.0,AMT
14,32,1,24,0.30443772,0.0,AMTX
14,32,1,24,0.30443772,0.0,AMX
14,32,1,24,0.30443772,0.0,AMZN
14,32,1,25,0.30443772,0.0,ANAC
14,32,1,25,0.30443772,0.0,ANAT
14,32,1,25,0.30443772,0.0,ANCX
14,32,1,25,0.30443772,0.0,ANDE
14,32,1,25,0.30443772,0.0,ANET
14,32,1,25,0.30443772,0.0,ANGO
14,33,1,25,0.29325075,-0.01118697,ANIP
14,33,1,25,0.29325075,0.0,ANSS
14,33,1,25,0.29325075,0.0,ANTH
14,33,1,25,0.29325075,0.0,ANTM
14,33,1,25,0.29325075,0.0,ANTX
14,33,2,26,0.30481157,0.01156082,ANY
14,33,2,26,0.30481157,0.0,AOD
14,33,2,26,0.30481157,0.0,AON
14,33,2,26,0.30481157,0.0,AOS
14,33,2,27,0.31626938,0.01145781,APA
14,34,2,27,0.31848664,0.00221726,APAM
14,34,2,27,0.31848664,0.0,APB
14,34,2,27,0.31848664,0.0,APC
14,34,2,27,0.31848664,0.0,APD
14,34,2,27,0.31848664,0.0,APF
14,34,2,27,0.31848664,0.0,APH
14,34,2,27,0.31848664,0.0,APIC
14,34,2,28,0.31848664,0.0,APO
14,34,2,28,0.31848664,0.0,APOG
14,34,2,28,0.31848664,0.0,APPF
