RollLongRight,RollLongTrd,RollShortRight,RollShortTrd,rollret,theRet,ticker
2,2,0,0,0.066219,0.066219,AAC
3,5,0,0,0.02217814,-0.04404086,AAOI
4,6,3,4,0.05886347,0.03668533,AAT
4,11,6,9,-0.0480545,-0.10691797,ABCO
12,37,11,17,0.22195476,0.27000926,ACAT
12,37,12,18,0.22858828,0.00663352,ACFC
14,40,14,24,0.23203071,0.00344243,ACH
15,41,16,28,0.27941664,0.04738593,ACLS
16,43,16,29,0.27125505,-0.00816159,ACP
20,51,16,29,0.4060832,0.13482815,ADAP
24,59,17,33,0.38663147,-0.01945173,ADC
24,61,18,34,0.3829213,-0.00371017,ADK
24,61,18,35,0.37570105,-0.00722025,ADXS
27,67,19,41,0.40973696,0.03403591,AE
28,68,19,42,0.41013785,0.00040089,AEK
30,76,21,48,0.306336,-0.10380185,AEL
30,78,23,51,0.31032832,0.00399232,AFA
33,82,24,52,0.33811145,0.02778313,AFG
37,86,25,53,0.35581238,0.01770093,AFSD
40,94,29,58,0.28280474,-0.07300764,AFSI
40,94,30,60,0.2843228,0.00151806,AFW
43,97,30,60,0.30425219,0.01992939,AGC
46,102,31,62,0.29493257,-0.00931962,AGD
47,103,31,63,0.29992857,0.004996,AGIIL
49,108,32,64,0.30505047,0.0051219,AGNC
49,108,32,64,0.30505047,0.0,AGND
49,109,38,73,0.27276622,-0.03228425,AGU
52,122,40,81,0.27595704,0.00319082,AHH
54,125,40,81,0.26645796,-0.00949908,AHL
54,128,40,81,0.26082646,-0.0056315,AHL-PA
57,135,41,85,0.26478432,0.00395786,AHL-PB
57,135,47,99,0.23410351,-0.03068081,AHL-PC
59,141,50,106,0.20704625,-0.02705726,AI
60,142,50,108,0.20275395,-0.0042923,AIB
60,143,50,108,0.18677685,-0.0159771,AIF
65,151,61,125,0.23859118,0.05181433,AIG
70,159,62,128,0.3049212,0.06633002,AIN
73,164,64,135,0.31357623,0.00865503,AIT
75,166,64,136,0.31264413,-0.0009321,AIY
84,177,67,144,0.40179567,0.08915154,ALE
85,178,71,154,0.43571986,0.03392419,ALOG
86,179,72,158,0.4332646,-0.00245526,ALSK
87,186,75,162,0.41814083,-0.01512377,ALV
87,186,78,165,0.42949534,0.01135451,AMCN
90,192,82,170,0.4499652,0.02046986,AMCX
91,194,88,182,0.51181386,0.06184866,AMRN
96,201,88,182,0.53959337,0.02777951,AMTG
96,201,88,182,0.53959337,0.0,ANCX
100,211,94,199,0.53596973,-0.00362364,ANIK
110,236,94,200,0.51583655,-0.02013318,APB
110,237,98,205,0.51692861,0.00109206,APRI
110,237,98,205,0.51692861,0.0,AQMS
111,238,98,207,0.50383484,-0.01309377,ARDM
114,242,98,208,0.53543871,0.03160387,ARH-PC
114,242,98,210,0.52936854,-0.00607017,ARR
115,243,98,213,0.51908817,-0.01028037,ARTNA
116,245,98,213,0.5190313,-5.687e-05,ARU
116,245,98,213,0.5190313,0.0,ASBB
117,248,99,214,0.53064699,0.01161569,ASMB
117,248,99,215,0.53064699,0.0,ASRV
118,252,99,223,0.01783882,-0.51280817,ASYS
118,252,117,253,0.95205902,0.9342202,ATEC
124,264,117,253,0.99008147,0.03802245,ATHM
126,268,130,286,0.94374368,-0.04633779,ATO
134,282,131,287,0.98572066,0.04197698,ATU
137,289,132,290,0.94645991,-0.03926075,AVA
140,294,132,290,0.95619495,0.00973504,AVV
142,299,133,293,0.96027482,0.00407987,AWH
144,305,133,293,0.96467225,0.00439743,AWK
148,310,136,301,0.95451555,-0.0101567,AWR
148,311,136,301,0.95451555,0.0,AWX
148,312,138,306,0.95500617,0.00049062,AXS-PC
148,313,138,306,0.94959657,-0.0054096,AXS-PD
150,321,142,322,0.82602747,-0.1235691,BANR
158,335,145,327,0.88363478,0.05760731,BBD
163,342,145,329,0.90302,0.01938522,BBK
165,344,146,330,0.91428673,0.01126673,BBN
169,350,146,333,0.86743538,-0.04685135,BBT
174,357,146,333,0.87354176,0.00610638,BBT-PD
174,360,152,343,0.92038455,0.04684279,BBX
179,372,155,355,0.89806711,-0.02231744,BCE
180,375,156,357,0.89258298,-0.00548413,BCX
193,397,156,365,0.9054648,0.01288182,BFK
195,399,158,370,0.93401724,0.02855244,BFS
196,400,158,372,0.9291368,-0.00488044,BFY
198,406,158,376,0.90986905,-0.01926775,BFZ
205,420,158,377,0.91280112,0.00293207,BHK
209,425,158,377,0.92942207,0.01662095,BICK
211,429,158,377,0.93893948,0.00951741,BIT
217,436,162,382,1.05282437,0.11388489,BK
221,442,165,389,1.07622051,0.02339614,BKD
223,447,171,397,1.07458663,-0.00163388,BKEP
